,Id,City,State
561,561,4209102,Santa Catarina
562,562,140,Santa Catarina
563,563,José Boiteux,Santa Catarina
564,564,José Boiteux,Santa Catarina
565,565,4209151,Santa Catarina
566,566,141,Santa Catarina
567,567,Jupiá,Santa Catarina
568,568,Jupiá,Santa Catarina
569,569,4209177,Santa Catarina
570,570,142,Santa Catarina
571,571,Lacerdópolis,Santa Catarina
572,572,Lacerdópolis,Santa Catarina
573,573,4209201,Santa Catarina
574,574,143,Santa Catarina
575,575,Lages,Santa Catarina
576,576,Lages,Santa Catarina
577,577,4209300,Santa Catarina
578,578,144,Santa Catarina
579,579,Laguna,Santa Catarina
580,580,Laguna,Santa Catarina
581,581,4209409,Santa Catarina
582,582,145,Santa Catarina
583,583,Lajeado Grande,Santa Catarina
584,584,Lajeado Grande,Santa Catarina
585,585,4209458,Santa Catarina
586,586,146,Santa Catarina
587,587,Laurentino,Santa Catarina
588,588,Laurentino,Santa Catarina
589,589,4209508,Santa Catarina
590,590,147,Santa Catarina
591,591,Lauro Müller,Santa Catarina
592,592,Lauro Müller,Santa Catarina
593,593,4209607,Santa Catarina
594,594,148,Santa Catarina
595,595,Lebon Régis,Santa Catarina
596,596,Lebon Régis,Santa Catarina
597,597,4209706,Santa Catarina
598,598,149,Santa Catarina
599,599,Leoberto Leal,Santa Catarina
600,600,Leoberto Leal,Santa Catarina
601,601,4209805,Santa Catarina
602,602,150,Santa Catarina
603,603,Lindóia do Sul,Santa Catarina
604,604,Lindóia do Sul,Santa Catarina
605,605,4209854,Santa Catarina
606,606,151,Santa Catarina
607,607,Lontras,Santa Catarina
608,608,Lontras,Santa Catarina
609,609,4209904,Santa Catarina
610,610,152,Santa Catarina
611,611,Luiz Alves,Santa Catarina
612,612,Luiz Alves,Santa Catarina
613,613,4210001,Santa Catarina
614,614,153,Santa Catarina
615,615,Luzerna,Santa Catarina
616,616,Luzerna,Santa Catarina
617,617,4210035,Santa Catarina
618,618,154,Santa Catarina
619,619,Macieira,Santa Catarina
620,620,Macieira,Santa Catarina
621,621,4210050,Santa Catarina
622,622,155,Santa Catarina
623,623,Mafra,Santa Catarina
624,624,Mafra,Santa Catarina
625,625,4210100,Santa Catarina
626,626,156,Santa Catarina
627,627,Major Gercino,Santa Catarina
628,628,Major Gercino,Santa Catarina
629,629,4210209,Santa Catarina
630,630,157,Santa Catarina
631,631,Major Vieira,Santa Catarina
632,632,Major Vieira,Santa Catarina
633,633,4210308,Santa Catarina
634,634,158,Santa Catarina
635,635,Maracajá,Santa Catarina
636,636,Maracajá,Santa Catarina
637,637,4210407,Santa Catarina
638,638,159,Santa Catarina
639,639,Maravilha,Santa Catarina
640,640,Maravilha,Santa Catarina
641,641,4210506,Santa Catarina
642,642,160,Santa Catarina
643,643,Marema,Santa Catarina
644,644,Marema,Santa Catarina
645,645,4210555,Santa Catarina
646,646,161,Santa Catarina
647,647,Massaranduba,Santa Catarina
648,648,Massaranduba,Santa Catarina
649,649,4210605,Santa Catarina
650,650,162,Santa Catarina
651,651,Matos Costa,Santa Catarina
652,652,Matos Costa,Santa Catarina
653,653,4210704,Santa Catarina
654,654,163,Santa Catarina
655,655,Meleiro,Santa Catarina
656,656,Meleiro,Santa Catarina
657,657,4210803,Santa Catarina
658,658,164,Santa Catarina
659,659,Mirim Doce,Santa Catarina
660,660,Mirim Doce,Santa Catarina
661,661,4210852,Santa Catarina
662,662,165,Santa Catarina
663,663,Modelo,Santa Catarina
664,664,Modelo,Santa Catarina
665,665,4210902,Santa Catarina
666,666,166,Santa Catarina
667,667,Mondaí,Santa Catarina
668,668,Mondaí,Santa Catarina
669,669,4211009,Santa Catarina
670,670,167,Santa Catarina
671,671,Monte Carlo,Santa Catarina
672,672,Monte Carlo,Santa Catarina
673,673,4211058,Santa Catarina
674,674,168,Santa Catarina
675,675,Monte Castelo,Santa Catarina
676,676,Monte Castelo,Santa Catarina
677,677,4211108,Santa Catarina
678,678,169,Santa Catarina
679,679,Morro da Fumaça,Santa Catarina
680,680,Morro da Fumaça,Santa Catarina
681,681,4211207,Santa Catarina
682,682,170,Santa Catarina
683,683,Morro Grande,Santa Catarina
684,684,Morro Grande,Santa Catarina
685,685,4211256,Santa Catarina
686,686,171,Santa Catarina
687,687,Navegantes,Santa Catarina
688,688,Navegantes,Santa Catarina
689,689,4211306,Santa Catarina
690,690,172,Santa Catarina
691,691,Nova Erechim,Santa Catarina
692,692,Nova Erechim,Santa Catarina
693,693,4211405,Santa Catarina
694,694,173,Santa Catarina
695,695,Nova Itaberaba,Santa Catarina
696,696,Nova Itaberaba,Santa Catarina
697,697,4211454,Santa Catarina
698,698,174,Santa Catarina
699,699,Nova Trento,Santa Catarina
700,700,Nova Trento,Santa Catarina
701,701,4211504,Santa Catarina
702,702,175,Santa Catarina
703,703,Nova Veneza,Santa Catarina
704,704,Nova Veneza,Santa Catarina
705,705,4211603,Santa Catarina
706,706,176,Santa Catarina
707,707,Novo Horizonte,Santa Catarina
708,708,Novo Horizonte,Santa Catarina
709,709,4211652,Santa Catarina
710,710,177,Santa Catarina
711,711,Orleans,Santa Catarina
712,712,Orleans,Santa Catarina
713,713,4211702,Santa Catarina
